timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282870995,448,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,2,2,https://www.boredapi.com,448,0,297
1723282871443,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282871083,455,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,2,2,https://www.boredapi.com,455,0,305
1723282871538,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282871444,451,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,2,2,https://www.boredapi.com,451,0,300
1723282871895,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282871538,459,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,2,2,https://www.boredapi.com,459,0,308
1723282871997,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282871896,487,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,2,2,https://www.boredapi.com,487,0,320
1723282872383,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282871997,485,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,2,2,https://www.boredapi.com,485,0,321
1723282872483,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282872384,479,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,2,2,https://www.boredapi.com,479,0,317
1723282872863,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282872483,478,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,3,3,https://www.boredapi.com,478,0,320
1723282872961,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282872864,495,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,3,3,https://www.boredapi.com,495,0,328
1723282873359,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282872887,488,HTTP Request,200,OK,Thread Group 1-3,text,false,,1220,119,3,3,https://www.boredapi.com,488,0,326
1723282873375,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282872962,462,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,3,3,https://www.boredapi.com,462,0,310
1723282873424,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873376,454,HTTP Request,200,OK,Thread Group 1-3,text,false,,1216,119,3,3,https://www.boredapi.com,454,0,304
1723282873830,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873360,476,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,3,3,https://www.boredapi.com,476,0,318
1723282873837,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873425,454,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,3,3,https://www.boredapi.com,454,0,303
1723282873879,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873830,444,HTTP Request,200,OK,Thread Group 1-3,text,false,,1216,119,3,3,https://www.boredapi.com,444,0,298
